iter	Passed	Remaining
0	78	78357
1	91	45751
2	103	34337
3	115	28689
4	127	25308
5	138	22880
6	149	21180
7	160	19934
8	173	19107
9	184	18232
10	198	17862
11	210	17310
12	220	16754
13	236	16653
14	251	16503
15	263	16208
16	277	16041
17	288	15758
18	303	15667
19	316	15484
20	327	15283
21	337	15012
22	348	14792
23	361	14719
24	375	14628
25	387	14503
26	403	14557
27	419	14577
28	436	14618
29	451	14602
30	464	14508
31	478	14482
32	490	14384
33	505	14374
34	518	14293
35	534	14308
36	549	14300
37	564	14291
38	579	14279
39	593	14251
40	608	14231
41	624	14240
42	649	14457
43	661	14365
44	674	14318
45	690	14319
46	704	14290
47	721	14317
48	736	14299
49	749	14248
50	765	14236
51	781	14256
52	796	14226
53	811	14211
54	823	14153
55	840	14166
56	857	14182
57	871	14149
58	886	14133
59	901	14115
60	915	14085
61	928	14051
62	942	14020
63	956	13982
64	971	13981
65	987	13979
66	1005	13995
67	1023	14033
68	1042	14065
69	1058	14060
70	1073	14049
71	1096	14131
72	1112	14129
73	1132	14167
74	1147	14150
75	1161	14126
76	1177	14110
77	1190	14069
78	1201	14011
79	1216	13994
80	1231	13973
81	1245	13942
82	1255	13874
83	1271	13861
84	1285	13834
85	1300	13820
86	1316	13811
87	1330	13790
88	1345	13777
89	1361	13764
90	1372	13708
91	1385	13672
92	1399	13645
93	1414	13629
94	1429	13615
95	1444	13605
96	1457	13569
97	1472	13550
98	1482	13491
99	1498	13483
100	1513	13467
101	1527	13448
102	1541	13423
103	1556	13408
104	1570	13383
105	1584	13366
106	1598	13340
107	1613	13324
108	1627	13301
109	1641	13283
110	1663	13324
111	1678	13306
112	1692	13284
113	1707	13266
114	1721	13244
115	1734	13221
116	1749	13206
117	1764	13187
118	1778	13169
119	1790	13132
120	1805	13118
121	1817	13079
122	1831	13059
123	1845	13040
124	1860	13024
125	1874	13003
126	1889	12986
127	1900	12950
128	1914	12927
129	1929	12912
130	1940	12875
131	1954	12854
132	1968	12831
133	1981	12805
134	1993	12770
135	2008	12757
136	2023	12746
137	2035	12715
138	2051	12710
139	2073	12736
140	2104	12821
141	2127	12857
142	2149	12879
143	2174	12925
144	2192	12925
145	2208	12915
146	2221	12888
147	2233	12856
148	2248	12839
149	2262	12821
150	2277	12805
151	2292	12790
152	2308	12780
153	2323	12764
154	2342	12769
155	2379	12871
156	2401	12895
157	2421	12903
158	2436	12890
159	2451	12870
160	2466	12852
161	2481	12836
162	2495	12811
163	2509	12792
164	2523	12772
165	2538	12755
166	2554	12740
167	2567	12717
168	2579	12684
169	2594	12665
170	2608	12645
171	2620	12613
172	2634	12593
173	2648	12573
174	2663	12556
175	2678	12541
176	2691	12515
177	2706	12498
178	2722	12484
179	2736	12468
180	2751	12452
181	2765	12429
182	2780	12413
183	2795	12397
184	2811	12384
185	2826	12367
186	2841	12354
187	2855	12333
188	2870	12318
189	2887	12307
190	2901	12288
191	2916	12272
192	2930	12254
193	2945	12236
194	2959	12217
195	2974	12203
196	2989	12187
197	3005	12171
198	3019	12155
199	3035	12140
200	3050	12126
201	3067	12119
202	3084	12108
203	3098	12091
204	3116	12087
205	3132	12074
206	3151	12073
207	3170	12074
208	3187	12061
209	3203	12049
210	3218	12036
211	3233	12019
212	3248	12003
213	3262	11983
214	3276	11964
215	3291	11948
216	3309	11940
217	3324	11926
218	3340	11912
219	3356	11899
220	3371	11885
221	3385	11865
222	3400	11849
223	3415	11833
224	3430	11817
225	3444	11798
226	3459	11781
227	3474	11764
228	3489	11747
229	3504	11731
230	3519	11717
231	3536	11707
232	3551	11692
233	3566	11673
234	3580	11657
235	3595	11640
236	3610	11623
237	3625	11606
238	3639	11589
239	3654	11572
240	3667	11551
241	3682	11533
242	3695	11513
243	3709	11492
244	3723	11475
245	3739	11460
246	3755	11448
247	3770	11432
248	3784	11414
249	3798	11396
250	3813	11380
251	3828	11363
252	3842	11345
253	3857	11330
254	3872	11315
255	3887	11297
256	3901	11279
257	3915	11262
258	3931	11247
259	3946	11232
260	3962	11220
261	3977	11203
262	4000	11209
263	4014	11191
264	4030	11179
265	4047	11167
266	4062	11153
267	4076	11134
268	4091	11119
269	4107	11104
270	4126	11100
271	4155	11121
272	4186	11149
273	4210	11157
274	4236	11169
275	4261	11178
276	4284	11183
277	4304	11179
278	4326	11179
279	4343	11169
280	4359	11154
281	4374	11137
282	4389	11119
283	4403	11102
284	4418	11085
285	4432	11066
286	4447	11049
287	4462	11031
288	4476	11014
289	4491	10996
290	4506	10979
291	4521	10963
292	4536	10947
293	4551	10930
294	4566	10912
295	4581	10897
296	4596	10879
297	4611	10862
298	4625	10844
299	4643	10834
300	4657	10815
301	4670	10795
302	4684	10776
303	4699	10759
304	4713	10741
305	4728	10724
306	4744	10709
307	4759	10694
308	4774	10677
309	4789	10660
310	4804	10644
311	4823	10635
312	4848	10642
313	4867	10634
314	4883	10619
315	4911	10630
316	4934	10630
317	4959	10635
318	4980	10632
319	5004	10633
320	5026	10631
321	5045	10624
322	5060	10607
323	5074	10588
324	5091	10573
325	5106	10558
326	5121	10540
327	5143	10538
328	5176	10558
329	5209	10577
330	5240	10591
331	5255	10573
332	5269	10555
333	5283	10535
334	5306	10533
335	5319	10511
336	5329	10484
337	5344	10467
338	5359	10450
339	5372	10429
340	5386	10410
341	5400	10390
342	5414	10371
343	5429	10353
344	5444	10336
345	5456	10314
346	5472	10297
347	5485	10277
348	5499	10258
349	5512	10238
350	5527	10220
351	5543	10204
352	5558	10187
353	5594	10208
354	5618	10208
355	5642	10207
356	5667	10208
357	5691	10207
358	5712	10200
359	5733	10192
360	5749	10177
361	5763	10158
362	5777	10139
363	5791	10120
364	5806	10101
365	5831	10100
366	5857	10102
367	5876	10091
368	5890	10072
369	5905	10055
370	5920	10037
371	5934	10018
372	5948	9998
373	5963	9982
374	5978	9964
375	5994	9947
376	6014	9939
377	6030	9923
378	6045	9906
379	6061	9889
380	6076	9872
381	6092	9856
382	6107	9839
383	6123	9822
384	6138	9804
385	6153	9787
386	6168	9771
387	6183	9753
388	6199	9737
389	6217	9724
390	6233	9709
391	6256	9703
392	6271	9686
393	6288	9672
394	6303	9655
395	6320	9640
396	6337	9625
397	6355	9613
398	6371	9597
399	6388	9582
400	6404	9566
401	6419	9549
402	6435	9533
403	6456	9525
404	6477	9516
405	6498	9508
406	6513	9490
407	6527	9471
408	6542	9454
409	6557	9436
410	6573	9420
411	6588	9403
412	6602	9384
413	6620	9371
414	6636	9354
415	6651	9337
416	6665	9318
417	6679	9300
418	6694	9282
419	6708	9263
420	6723	9246
421	6739	9231
422	6755	9214
423	6769	9196
424	6783	9178
425	6800	9162
426	6815	9146
427	6838	9139
428	6868	9141
429	6897	9143
430	6925	9143
431	6953	9142
432	6977	9136
433	7010	9142
434	7038	9141
435	7060	9133
436	7088	9132
437	7113	9126
438	7131	9112
439	7147	9097
440	7161	9077
441	7176	9059
442	7189	9039
443	7202	9019
444	7217	9001
445	7231	8983
446	7246	8965
447	7260	8945
448	7274	8927
449	7290	8910
450	7305	8893
451	7319	8874
452	7333	8855
453	7349	8838
454	7364	8820
455	7378	8801
456	7390	8781
457	7404	8762
458	7419	8745
459	7434	8727
460	7448	8709
461	7463	8690
462	7479	8675
463	7494	8657
464	7509	8639
465	7522	8620
466	7537	8603
467	7551	8584
468	7565	8565
469	7579	8546
470	7593	8528
471	7609	8512
472	7624	8495
473	7638	8476
474	7653	8458
475	7667	8440
476	7681	8422
477	7695	8404
478	7710	8386
479	7724	8368
480	7738	8350
481	7753	8332
482	7767	8314
483	7782	8297
484	7796	8278
485	7811	8261
486	7827	8244
487	7842	8228
488	7857	8211
489	7871	8192
490	7886	8175
491	7900	8157
492	7914	8139
493	7928	8120
494	7942	8103
495	7955	8083
496	7968	8064
497	7982	8046
498	7996	8028
499	8011	8011
500	8026	7994
501	8040	7976
502	8055	7959
503	8070	7942
504	8085	7925
505	8100	7908
506	8115	7891
507	8131	7875
508	8145	7857
509	8160	7840
510	8174	7822
511	8189	7805
512	8203	7788
513	8219	7771
514	8233	7753
515	8249	7737
516	8264	7721
517	8277	7702
518	8294	7686
519	8309	7670
520	8324	7653
521	8338	7635
522	8352	7617
523	8366	7600
524	8381	7583
525	8397	7567
526	8410	7548
527	8424	7530
528	8438	7513
529	8452	7495
530	8466	7478
531	8482	7461
532	8496	7444
533	8511	7427
534	8524	7409
535	8539	7392
536	8553	7375
537	8566	7356
538	8581	7339
539	8595	7322
540	8610	7305
541	8627	7290
542	8640	7272
543	8655	7255
544	8670	7238
545	8685	7221
546	8701	7206
547	8716	7189
548	8730	7172
549	8746	7156
550	8762	7140
551	8778	7124
552	8792	7106
553	8807	7090
554	8821	7073
555	8836	7056
556	8850	7038
557	8867	7024
558	8885	7009
559	8901	6993
560	8918	6978
561	8933	6962
562	8948	6945
563	8965	6930
564	8981	6915
565	8997	6899
566	9014	6884
567	9030	6868
568	9044	6850
569	9059	6834
570	9073	6817
571	9089	6801
572	9105	6785
573	9120	6768
574	9135	6752
575	9151	6736
576	9166	6719
577	9181	6703
578	9196	6687
579	9212	6670
580	9226	6654
581	9240	6636
582	9255	6619
583	9268	6602
584	9284	6586
585	9301	6571
586	9317	6555
587	9332	6538
588	9346	6521
589	9361	6505
590	9376	6489
591	9391	6472
592	9405	6455
593	9419	6438
594	9440	6425
595	9455	6409
596	9469	6391
597	9483	6374
598	9497	6358
599	9512	6341
600	9528	6325
601	9542	6308
602	9559	6293
603	9574	6277
604	9589	6261
605	9604	6244
606	9619	6227
607	9634	6211
608	9648	6194
609	9662	6177
610	9681	6163
611	9695	6146
612	9710	6130
613	9725	6114
614	9741	6098
615	9763	6086
616	9778	6069
617	9793	6053
618	9807	6036
619	9822	6020
620	9837	6003
621	9852	5987
622	9866	5970
623	9880	5953
624	9896	5937
625	9911	5921
626	9926	5905
627	9940	5888
628	9956	5872
629	9971	5856
630	9987	5840
631	10001	5823
632	10014	5806
633	10028	5789
634	10042	5772
635	10056	5755
636	10070	5738
637	10083	5721
638	10097	5704
639	10112	5688
640	10126	5671
641	10146	5658
642	10160	5641
643	10174	5624
644	10188	5607
645	10203	5591
646	10218	5575
647	10233	5558
648	10248	5542
649	10263	5526
650	10277	5509
651	10292	5493
652	10307	5477
653	10323	5461
654	10338	5445
655	10352	5428
656	10367	5412
657	10381	5396
658	10396	5379
659	10412	5363
660	10426	5347
661	10441	5331
662	10456	5315
663	10471	5298
664	10486	5282
665	10500	5266
666	10515	5249
667	10530	5233
668	10544	5217
669	10560	5201
670	10574	5184
671	10588	5168
672	10602	5151
673	10617	5135
674	10632	5119
675	10647	5103
676	10661	5086
677	10677	5070
678	10691	5054
679	10705	5038
680	10719	5021
681	10735	5005
682	10750	4989
683	10765	4973
684	10780	4957
685	10794	4940
686	10808	4924
687	10822	4907
688	10837	4891
689	10851	4875
690	10865	4858
691	10880	4842
692	10895	4826
693	10910	4810
694	10925	4794
695	10940	4778
696	10956	4762
697	10971	4746
698	10986	4730
699	11000	4714
700	11015	4698
701	11029	4681
702	11043	4665
703	11058	4649
704	11072	4633
705	11087	4617
706	11102	4601
707	11117	4585
708	11131	4568
709	11145	4552
710	11160	4536
711	11174	4520
712	11189	4503
713	11203	4487
714	11218	4471
715	11231	4455
716	11246	4439
717	11261	4423
718	11276	4407
719	11290	4390
720	11304	4374
721	11318	4358
722	11333	4342
723	11347	4325
724	11362	4310
725	11377	4294
726	11392	4277
727	11406	4261
728	11420	4245
729	11435	4229
730	11451	4213
731	11468	4198
732	11483	4182
733	11497	4166
734	11511	4150
735	11526	4134
736	11540	4118
737	11555	4102
738	11569	4086
739	11585	4070
740	11599	4054
741	11614	4038
742	11628	4022
743	11642	4006
744	11657	3990
745	11671	3974
746	11685	3957
747	11701	3942
748	11714	3925
749	11728	3909
750	11743	3893
751	11758	3877
752	11773	3861
753	11788	3846
754	11801	3829
755	11816	3813
756	11855	3805
757	11913	3803
758	11944	3792
759	11962	3777
760	11982	3763
