global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,date_time
2.268,0.0,235.94,9.6,0.0,0.0,17.0,2008-01-23 21:14:00
4.152,0.354,238.13,17.4,1.0,38.0,17.0,2008-02-02 16:42:00
1.448,0.212,240.99,6.0,0.0,2.0,18.0,2008-03-21 11:29:00
0.284,0.072,237.66,1.2,0.0,0.0,0.0,2008-02-28 10:13:00
0.452,0.084,239.81,1.8,0.0,0.0,0.0,2007-03-07 20:10:00
1.072,0.072,239.79,4.4,1.0,1.0,1.0,2010-09-17 20:00:00
1.056,0.448,239.98,4.8,0.0,1.0,12.0,2008-07-24 20:19:00
0.36,0.146,244.83,1.6,0.0,0.0,0.0,2008-02-02 01:39:00
0.444,0.206,237.52,2.0,0.0,0.0,1.0,2008-07-24 15:22:00
0.364,0.108,244.78,1.6,0.0,0.0,0.0,2008-10-24 15:48:00
0.134,0.0,238.67,0.6,0.0,0.0,0.0,2009-07-08 02:23:00
0.282,0.242,242.69,1.4,0.0,0.0,0.0,2007-11-06 20:16:00
1.478,0.15,241.08,6.4,0.0,0.0,8.0,2010-03-10 18:54:00
1.646,0.086,243.1,6.8,0.0,0.0,19.0,2010-03-02 00:43:00
0.268,0.27,239.74,1.4,0.0,2.0,0.0,2008-07-08 16:49:00
0.53,0.144,242.2,2.2,0.0,1.0,0.0,2008-04-20 23:00:00
0.3,0.154,239.07,1.6,0.0,2.0,1.0,2010-07-22 10:07:00
2.8,0.068,236.52,11.8,0.0,0.0,17.0,2008-10-01 08:01:00
0.37,0.1,239.87,2.0,0.0,0.0,2.0,2008-09-09 16:34:00
1.308,0.052,238.85,5.4,0.0,0.0,18.0,2009-07-03 10:40:00
3.266,0.0,236.48,13.8,0.0,1.0,18.0,2010-03-10 19:57:00
2.006,0.09,242.59,8.2,1.0,1.0,19.0,2008-08-11 23:29:00
2.152,0.124,238.92,9.0,0.0,2.0,17.0,2007-02-24 09:12:00
0.208,0.0,238.05,0.8,0.0,0.0,0.0,2008-02-26 11:59:00
1.158,0.076,242.57,4.8,0.0,0.0,1.0,2010-08-26 23:52:00
0.248,0.0,239.33,1.0,0.0,0.0,1.0,2008-04-28 09:52:00
1.418,0.134,238.55,5.8,0.0,0.0,17.0,2007-09-07 07:19:00
0.444,0.206,240.07,2.0,0.0,0.0,1.0,2010-03-03 22:26:00
2.188,0.316,243.82,9.0,0.0,1.0,1.0,2010-10-28 19:41:00
1.282,0.0,239.39,5.2,0.0,0.0,18.0,2009-12-11 10:05:00
0.56,0.0,238.96,2.4,0.0,0.0,1.0,2008-10-23 18:14:00
0.36,0.066,245.07,1.4,0.0,0.0,0.0,2009-02-14 00:09:00
0.398,0.24,239.99,1.8,0.0,1.0,0.0,2007-02-24 13:41:00
0.176,0.0,239.4,0.8,0.0,0.0,1.0,2010-06-18 00:41:00
1.246,0.088,238.23,5.2,0.0,0.0,0.0,2008-01-19 17:08:00
3.026,0.046,234.62,12.8,0.0,0.0,17.0,2008-11-03 18:41:00
3.402,0.102,238.57,14.2,0.0,0.0,18.0,2007-02-18 09:10:00
