id,date,store_nbr,onpromotion_store,transactions
0,2013-01-02,48,0,3397
1,2013-01-03,48,0,2887
2,2013-01-04,48,0,2900
3,2013-01-05,48,0,4084
4,2013-01-06,48,0,4591
5,2013-01-07,48,0,2697
6,2013-01-08,48,0,2320
7,2013-01-09,48,0,2316
8,2013-01-10,48,0,2212
9,2013-01-11,48,0,2396
10,2013-01-12,48,0,3355
11,2013-01-13,48,0,3993
12,2013-01-14,48,0,2223
13,2013-01-15,48,0,2275
14,2013-01-16,48,0,2343
15,2013-01-17,48,0,2234
16,2013-01-18,48,0,2341
17,2013-01-19,48,0,3392
18,2013-01-20,48,0,4044
19,2013-01-21,48,0,2428
20,2013-01-22,48,0,2130
21,2013-01-23,48,0,2179
22,2013-01-24,48,0,1972
23,2013-01-25,48,0,2262
24,2013-01-26,48,0,3628
25,2013-01-27,48,0,3977
26,2013-01-28,48,0,2308
27,2013-01-29,48,0,2134
28,2013-01-30,48,0,2207
29,2013-01-31,48,0,2432
30,2013-02-01,48,0,2911
31,2013-02-02,48,0,4118
32,2013-02-03,48,0,4193
33,2013-02-04,48,0,2840
34,2013-02-05,48,0,2734
35,2013-02-06,48,0,2719
36,2013-02-07,48,0,2578
37,2013-02-08,48,0,2828
38,2013-02-09,48,0,3455
39,2013-02-10,48,0,3048
40,2013-02-11,48,0,2939
41,2013-02-12,48,0,3483
42,2013-02-13,48,0,2819
43,2013-02-14,48,0,3263
44,2013-02-15,48,0,2761
45,2013-02-16,48,0,3832
46,2013-02-17,48,0,3400
47,2013-02-18,48,0,2784
48,2013-02-19,48,0,2095
49,2013-02-20,48,0,2367
50,2013-02-21,48,0,2040
51,2013-02-22,48,0,2238
52,2013-02-23,48,0,3354
53,2013-02-24,48,0,3939
54,2013-02-25,48,0,2291
55,2013-02-26,48,0,2042
56,2013-02-27,48,0,2175
57,2013-02-28,48,0,2268
58,2013-03-01,48,0,2801
59,2013-03-02,48,0,4108
60,2013-03-03,48,0,4489
61,2013-03-04,48,0,2816
62,2013-03-05,48,0,2394
63,2013-03-06,48,0,2505
64,2013-03-07,48,0,2442
65,2013-03-08,48,0,2680
66,2013-03-09,48,0,3633
67,2013-03-10,48,0,4115
68,2013-03-11,48,0,2429
69,2013-03-12,48,0,2111
70,2013-03-13,48,0,2271
71,2013-03-14,48,0,2214
72,2013-03-15,48,0,2477
73,2013-03-16,48,0,3887
